,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
0,0.02,0.001,0.0001,2,0.005752064635559662,5.2562003985166825,160.0,160.08631310211803
1,0.02,0.001,0.0001,5,0.0058637718039116216,5.255609846359697,160.0,160.08629371328811
2,0.02,0.001,0.0001,9,0.005969364873909755,5.255051617052033,159.0,159.0868177049811
3,0.02,0.001,0.0001,12,0.006066179256775661,5.254539797233553,157.0,157.08790592684312
4,0.02,0.001,0.0001,16,0.006144385018223786,5.254126353926438,157.0,157.0878920978413
5,0.02,0.001,0.0001,20,0.0062544595438372985,5.253544432913764,157.0,157.08787263537755
6,0.02,0.001,0.20007999999999998,2,,,,
7,0.02,0.001,0.20007999999999998,5,,,,
8,0.02,0.001,0.20007999999999998,9,,,,
9,0.02,0.001,0.20007999999999998,12,,,,
10,0.02,0.001,0.20007999999999998,16,,,,
11,0.02,0.001,0.20007999999999998,20,,,,
12,0.02,0.001,0.40005999999999997,2,,,,
13,0.02,0.001,0.40005999999999997,5,,,,
14,0.02,0.001,0.40005999999999997,9,,,,
15,0.02,0.001,0.40005999999999997,12,,,,
16,0.02,0.001,0.40005999999999997,16,,,,
17,0.02,0.001,0.40005999999999997,20,,,,
18,0.02,0.001,0.6000399999999999,2,,,,
19,0.02,0.001,0.6000399999999999,5,,,,
20,0.02,0.001,0.6000399999999999,9,,,,
21,0.02,0.001,0.6000399999999999,12,,,,
22,0.02,0.001,0.6000399999999999,16,,,,
23,0.02,0.001,0.6000399999999999,20,,,,
24,0.02,0.001,0.80002,2,,,,
25,0.02,0.001,0.80002,5,,,,
26,0.02,0.001,0.80002,9,,,,
27,0.02,0.001,0.80002,12,,,,
28,0.02,0.001,0.80002,16,,,,
29,0.02,0.001,0.80002,20,,,,
30,0.02,0.001,1.0,2,,,,
31,0.02,0.001,1.0,5,,,,
32,0.02,0.001,1.0,9,,,,
33,0.02,0.001,1.0,12,,,,
34,0.02,0.001,1.0,16,,,,
35,0.02,0.001,1.0,20,,,,
36,0.02,20.0008,0.0001,2,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
37,0.02,20.0008,0.0001,5,0.0026479715649908586,5.2726105258644225,1.0,5.366602440786564
